               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.029219,            0.018369,           0.0022249,             0.60867,              0.7218,             0.67218,             0.39996,            0.029855,            0.012544,            0.011308,            0.005347,            0.005347,            0.005347
                  49,            0.031292,            0.016609,           0.0038777,              0.7104,             0.60451,             0.67415,             0.40604,             0.02798,            0.013721,            0.029062,            0.005248,            0.005248,            0.005248
                  50,            0.028736,            0.017027,           0.0024962,             0.68626,             0.52488,             0.65305,             0.40722,            0.028606,            0.013358,            0.034613,            0.005149,            0.005149,            0.005149
                  51,            0.029409,            0.018381,           0.0022536,              0.5718,             0.61388,             0.63636,             0.38448,            0.024678,            0.013569,            0.046814,             0.00505,             0.00505,             0.00505
                  52,            0.028744,            0.015276,           0.0028986,             0.63359,              0.6478,             0.65409,               0.408,            0.027046,            0.013852,            0.031044,            0.004951,            0.004951,            0.004951
                  53,            0.027288,            0.016834,           0.0033543,             0.64006,             0.56029,             0.60299,             0.35425,            0.030018,            0.015371,            0.045558,            0.004852,            0.004852,            0.004852
                  54,            0.028829,             0.01588,           0.0018402,             0.69156,             0.57987,             0.57275,             0.34621,            0.028492,            0.016033,            0.032875,            0.004753,            0.004753,            0.004753
                  55,            0.029574,            0.016083,           0.0020177,              0.6043,             0.62996,             0.57271,             0.33955,            0.029573,            0.015524,             0.03219,            0.004654,            0.004654,            0.004654
                  56,            0.028228,            0.016827,           0.0027877,             0.62718,             0.57751,             0.61897,             0.34691,            0.029635,            0.014971,            0.034683,            0.004555,            0.004555,            0.004555
                  57,            0.026614,            0.015769,           0.0016413,             0.60324,             0.64019,             0.63067,             0.38701,            0.028284,            0.014693,            0.035654,            0.004456,            0.004456,            0.004456
                  58,            0.025407,            0.014454,           0.0017057,             0.61101,             0.64019,             0.66636,              0.4057,            0.029217,            0.014374,             0.03486,            0.004357,            0.004357,            0.004357
                  59,            0.027429,            0.014665,           0.0025088,             0.69506,             0.57796,             0.66061,             0.38082,            0.029837,            0.015244,            0.034688,            0.004258,            0.004258,            0.004258
                  60,            0.027157,            0.015062,            0.001526,             0.71428,             0.60282,             0.66813,             0.39016,            0.028287,            0.015785,            0.031833,            0.004159,            0.004159,            0.004159
                  61,            0.027156,            0.015858,           0.0030446,             0.72246,             0.60345,              0.6709,             0.43095,            0.026066,            0.015448,            0.032741,             0.00406,             0.00406,             0.00406
                  62,            0.027226,            0.015451,           0.0020968,             0.67798,              0.5267,             0.60732,             0.37422,             0.03019,            0.016505,             0.03575,            0.003961,            0.003961,            0.003961
                  63,            0.025496,            0.013874,           0.0021242,             0.72723,             0.58992,             0.63921,             0.42568,            0.026403,            0.016069,            0.031615,            0.003862,            0.003862,            0.003862
                  64,            0.027916,            0.015865,           0.0031202,             0.70791,             0.60198,             0.63649,             0.40709,            0.025155,            0.015871,            0.031308,            0.003763,            0.003763,            0.003763
                  65,            0.027399,            0.016461,           0.0027775,             0.79162,             0.51063,             0.61805,             0.39288,            0.025698,            0.015622,            0.033214,            0.003664,            0.003664,            0.003664
                  66,            0.027054,            0.017823,            0.001502,             0.66711,             0.61583,             0.65914,             0.42332,            0.024916,            0.014656,            0.021898,            0.003565,            0.003565,            0.003565
                  67,            0.025597,            0.015658,           0.0017015,             0.61778,             0.62826,             0.64686,             0.43123,            0.026917,            0.015179,            0.011458,            0.003466,            0.003466,            0.003466
                  68,            0.023846,            0.015529,           0.0013503,             0.70077,             0.57288,             0.62443,             0.42525,            0.026673,            0.015775,            0.013863,            0.003367,            0.003367,            0.003367
                  69,            0.023399,            0.014665,           0.0011962,             0.65643,             0.59968,             0.61478,             0.41666,            0.027652,            0.015658,            0.011466,            0.003268,            0.003268,            0.003268
                  70,            0.025833,            0.016019,           0.0022696,             0.62691,             0.62297,               0.606,             0.38456,            0.029561,            0.015713,            0.012973,            0.003169,            0.003169,            0.003169
                  71,            0.025099,            0.014694,           0.0022437,             0.69664,             0.56907,              0.5861,             0.35249,            0.031263,            0.016163,            0.025873,             0.00307,             0.00307,             0.00307
                  72,            0.025714,            0.014607,           0.0026768,             0.70503,             0.54812,              0.5744,             0.37133,            0.031703,            0.016485,            0.022955,            0.002971,            0.002971,            0.002971
                  73,            0.023855,            0.015835,           0.0013979,             0.68422,             0.55215,             0.63668,             0.39003,            0.029936,            0.015961,            0.030739,            0.002872,            0.002872,            0.002872
                  74,            0.023091,            0.013877,           0.0014842,             0.71145,             0.56708,             0.67052,             0.41623,            0.029724,             0.01564,            0.018658,            0.002773,            0.002773,            0.002773
                  75,             0.02304,            0.014493,           0.0026634,             0.85245,             0.51918,             0.67542,             0.42663,            0.028725,            0.015702,            0.022592,            0.002674,            0.002674,            0.002674
                  76,            0.023767,            0.015412,           0.0020156,             0.81752,             0.52443,             0.68267,             0.42091,            0.029292,            0.015616,             0.02854,            0.002575,            0.002575,            0.002575
                  77,            0.023931,            0.013725,           0.0015575,             0.85038,             0.54306,             0.67981,             0.44766,            0.028537,            0.015183,            0.029558,            0.002476,            0.002476,            0.002476
                  78,            0.023807,            0.014152,           0.0015061,             0.73294,             0.57943,             0.68412,             0.45664,            0.028914,            0.014811,            0.026805,            0.002377,            0.002377,            0.002377
                  79,            0.023038,            0.014536,           0.0019539,             0.67566,             0.63779,             0.66493,             0.43477,            0.028842,            0.015292,            0.027446,            0.002278,            0.002278,            0.002278
                  80,            0.021989,            0.014755,           0.0016659,             0.67948,              0.6866,             0.68126,              0.4568,            0.028344,            0.014792,            0.013972,            0.002179,            0.002179,            0.002179
                  81,            0.022323,            0.014223,            0.001775,             0.69855,             0.62488,             0.67982,             0.45152,            0.028142,            0.014908,            0.010514,             0.00208,             0.00208,             0.00208
                  82,            0.023197,            0.014175,           0.0018102,             0.64236,             0.68028,             0.67758,             0.42792,            0.028501,            0.015308,            0.014719,            0.001981,            0.001981,            0.001981
                  83,             0.02188,            0.013685,           0.0011081,             0.70367,             0.65828,             0.68326,             0.44751,             0.02778,            0.015524,            0.013988,            0.001882,            0.001882,            0.001882
                  84,            0.024475,            0.012812,           0.0010222,             0.72208,             0.65847,             0.69134,             0.46528,            0.027137,            0.015046,            0.010842,            0.001783,            0.001783,            0.001783
                  85,            0.021709,            0.013753,           0.0013841,             0.74719,             0.64115,              0.7107,             0.46757,             0.02644,            0.014446,            0.008223,            0.001684,            0.001684,            0.001684
                  86,            0.021368,            0.014208,          0.00096654,             0.78099,             0.58835,             0.69847,             0.45684,            0.026698,            0.014508,           0.0076057,            0.001585,            0.001585,            0.001585
                  87,            0.020121,            0.013824,            0.002538,             0.69748,             0.64128,             0.68306,             0.45756,            0.026847,            0.015187,           0.0070114,            0.001486,            0.001486,            0.001486
                  88,            0.020586,            0.012411,            0.001051,             0.68305,             0.64926,             0.68399,             0.45175,            0.025572,            0.015566,           0.0081566,            0.001387,            0.001387,            0.001387
                  89,            0.020684,            0.014232,          0.00078282,              0.6521,             0.66071,             0.67634,             0.44717,            0.025461,            0.015735,           0.0065586,            0.001288,            0.001288,            0.001288
                  90,            0.021454,            0.012953,           0.0011752,             0.79728,             0.51675,             0.66509,             0.44931,            0.025433,            0.015811,           0.0065575,            0.001189,            0.001189,            0.001189
                  91,            0.019572,            0.012292,           0.0011495,              0.6596,             0.68329,             0.68223,             0.45059,             0.02504,             0.01556,           0.0065105,             0.00109,             0.00109,             0.00109
                  92,            0.020682,            0.014051,          0.00088565,             0.69816,             0.65455,             0.66765,             0.43586,            0.025212,            0.015539,           0.0075165,            0.000991,            0.000991,            0.000991
                  93,            0.019503,            0.013655,           0.0010728,             0.67012,             0.62392,             0.64456,             0.40574,            0.025446,            0.015957,            0.014497,            0.000892,            0.000892,            0.000892
                  94,            0.019477,            0.012658,          0.00062294,             0.67996,             0.62138,             0.65114,             0.41065,            0.025328,            0.015939,            0.015221,            0.000793,            0.000793,            0.000793
                  95,            0.020225,            0.012968,           0.0013616,             0.66987,             0.62392,             0.65833,             0.42218,             0.02485,            0.015953,            0.014946,            0.000694,            0.000694,            0.000694
                  96,            0.020676,            0.012472,          0.00097697,             0.68029,             0.64472,             0.65911,             0.41975,            0.025156,            0.016251,             0.01767,            0.000595,            0.000595,            0.000595
                  97,            0.022437,            0.012612,           0.0016427,             0.66852,             0.63073,             0.65496,             0.40887,            0.025598,            0.016482,            0.012415,            0.000496,            0.000496,            0.000496
                  98,            0.019424,            0.012859,          0.00071171,             0.65468,             0.61483,             0.65444,             0.41894,            0.024806,            0.016755,           0.0086494,            0.000397,            0.000397,            0.000397
                  99,            0.018933,            0.013545,           0.0013587,             0.64608,             0.59665,             0.65249,              0.4417,            0.024712,            0.016828,            0.006633,            0.000298,            0.000298,            0.000298
